song,artist,rel_date,lyrics
I'm the One,DJ Khaled,2017-05-20,"We the Best Music Another one DJ Khaled Yeah, you're lookin' at the truth The money never lie, no I'm the one, yeah, I'm the one Early mornin' in the Dawn Know you wanna ride now (Let's ride, let's ride!) I'm the one, yeah, I'm the one, yeah And you sick of all those other imitators Don't let the only real one intimidate ya See you watchin', don't run outta time now I'm the one, yeah Oh-eh-oh-oh-oh, eh-oh I'm the one Oh-eh-oh-oh-oh, eh-oh I'm the only one Oh-eh-oh-oh-oh, eh-oh I'm the one Oh-eh-oh-oh-oh, eh-oh I'm the only one Yeah, yeah! Quavo! I'm the one that hit that same spot (Hit it) She the one that bring them rain drops (Rain drops) We go back, remember criss-cross and hopscotch? (Hopscotch) You the one that hold me down when the block's hot (Hot) I make your dreams come true when you wake up (Dream) And your look's just the same without no make-up (Bad) Had to pull up on your mama, see what you're made of (Mama) Ain't gotta worry 'bout 'em commas 'cause my cake up (Cake) You can run inside my life from that fame bus (Skrrt) 'Cause I promise, when we step out you'll be famous (Yeah) Modern day Bonnie and Clyde what they named us (Why?) 'Cause when we pull up—brt-brt!—all angles Yeah, you're lookin' at the truth The money never lie, no I'm the one, yeah, I'm the one Early mornin' in the Dawn Know you wanna ride now (Let's ride, let's ride!) I'm the one, yeah, I'm the one, yeah And you sick of all those other imitators Don't let the only real one intimidate ya See you watchin', don't run outta time now I'm the one, yeah Oh-eh-oh-oh-oh, eh-oh I'm the one Oh-eh-oh-oh-oh, eh-oh I'm the only one Oh-eh-oh-oh-oh, eh-oh I'm the one Oh-eh-oh-oh-oh, eh-oh I'm the only one Okay though Uh, she beat her face up with that new Chanel She like the price, she see the ice, it make her coochie melt When I met her in the club I asked her who she felt Then she went and put that booty on that Gucci belt We don't got no label She say she want bottles, she ain't got no table She don't got no bed frame, she don't got no tables We just watchin' Netflix, she ain't got no cable, okay though Plug, plug, plug, I'm the plug for her She want a nigga that pull her hair and hold the door for her Baby, that's only me, bitch, it okay with me Baby, okay, okay though Yeah, you're lookin' at the truth The money never lie, no I'm the one, yeah, I'm the one Early mornin' in the Dawn Know you wanna ride now (Let's ride, let's ride!) I'm the one, yeah, I'm the one, yeah And you sick of all those other imitators Don't let the only real one intimidate ya See you watchin', don't run outta time now I'm the one, yeah Oh-eh-oh-oh-oh, eh-oh I'm the one Oh-eh-oh-oh-oh, eh-oh I'm the only one Oh-eh-oh-oh-oh, eh-oh I'm the one Oh-eh-oh-oh-oh, eh-oh I'm the only one Lookin' for the one? Well, bitch, you're lookin' at the one I'm the best yet, and yet my best is yet to come 'Cause I've been lookin' for somebody Not just any fuckin' body Don't make me catch a body That's for any and everybody Oh my God, she hit me up all day, get no response Bitch, you blow my high That's like turnin' gold to bronze, roll my eyes And when she on the molly, she a zombie She think we Clyde and Bonnie But it's more like Whitney and Bobby God, forgive me! Tunechi F finessin', I'm a legend Straight up out the Crescent Fly your bae down for the Essence For the record I knew Khaled when that boy was spinnin' records Mula Gang, winnin' record I'm just flexin' on my exes, oh God Yeah, you're lookin' at the truth The money never lie, no I'm the one, yeah, I'm the one Early mornin' in the Dawn Know you wanna ride now (Let's ride, let's ride!) I'm the one, yeah, I'm the one, yeah And you sick of all those other imitators Don't let the only real one intimidate ya See you watchin', don't run outta time now I'm the one, yeah Oh-eh-oh-oh-oh, eh-oh I'm the one Oh-eh-oh-oh-oh, eh-oh I'm the only one Oh-eh-oh-oh-oh, eh-oh I'm the one Oh-eh-oh-oh-oh, eh-oh I'm the only one (Another one) Don't you know, girl? Don't you know, girl? I am the one for you (I'm the one) Yeah, I'm the one Don't you know, girl? Don't you know, girl? I am the one for you (I'm the one) Yeah, I'm the one Don't you know, girl? Don't you know, girl? I am the one for you (I'm the one) Yeah, I'm the one Don't you know, girl? Don't you know, girl? I am the one for you (I'm the one) Yeah, I'm the one"
Unforgettable,French Montana,2017-08-19,"It's not good enough for me Since I've been with you, ooh It's not gonna work for you Nobody can equal me (I know) I'm gonna sip on this drink, when I'm fucked up I should know how to pick up I'm gonna catch the rhythm While she push up against me, ooh, and she tipsy I had enough convo for 24 I peep'd you from across the room Pretty little body dancin' like GoGo, hey And you are unforgettable I need to get you alone (Ooh) Why not? A fuckin' good time never hurt nobody I got a little drink but it's not Bacardi If you loved the girl, then I'm so, so sorry I gotta give it to her like we in a marriage Oh, like we in a hurry No, no, I won't tell nobody You're on your level too Tryna do what lovers do Feelin' like I'm fresh out; Boosie (Boosie) If they want the drama, got the Uzi (Uzi) Ship the whole crew to the cruise ship (Cruise) Doin' shit you don't even see in movies (Movies) Ride with me, ride with me, boss (Boss) I got a hard head, but her ass soft (Soft) She want the last name with the ring on it 'Cause I pulled out a million cash, told her plank on it And you are unforgettable I need to get you alone Now you wanna choose Just pop the bubbly in the 'cuzi It's not good enough for me Since I've been with you, ooh I'm gonna sip on this drink, when I'm fucked up I should know how to pick up I'm gonna catch the rhythm While she push up against me, ooh, and she tipsy I had enough convo for 24 I peep'd you from across the room Pretty little body dancin' like GoGo, hey And you are unforgettable I need to get you alone (Oeh) Why not? A fuckin' good time never hurt nobody I got a little drink but it's not Bacardi If you loved the girl, then I'm so, so sorry I gotta give it to her like we in a marriage Oh, like we in a hurry No, no, I won't tell nobody You're on your level too Tryna do what lovers do You ain't enough for me Too much for you alone Baby, go and grab some bad bitches, bring 'em home Know the jet's on me I'ma curve my best for you, you know So pick up that dress for me Leave the rest on Too much convo for 24 hours When you stand next to 24 karats She left her man at home She don't love him no more I want your mind and your body Don't mind nobody So, you don't ever hurt nobody Baby girl, work your body, work your body And you are unforgettable I need to get you alone Now you wanna choose Just pop the bubbly in the 'cuzi Why not? Oh, like we in a hurry No, no, I won't tell nobody You're on your level too Tryna do what lovers do"
Bodak Yellow (Money Moves),Cardi B,2017-09-02,NA
Rockstar,Post Malone,2017-10-28,"Hahahahaha Tank God Ayy, ayy I've been fuckin' hoes and poppin' pillies Man, I feel just like a rockstar (Star, ayy, ayy) All my brothers got that gas And they always be smokin' like a Rasta ('Sta) Fuckin' with me, call up on a Uzi And show up, man, them the shottas ('Tas) When my homies pull up on your block They make that thing go grrra-ta-ta-ta (Ta, pow, pow, pow, ayy, ayy) Switch my whip, came back in black I'm startin' sayin', ""Rest in peace to Bon Scott"" (Scott, ayy) Close that door, we blowin' smoke She ask me light a fire like I'm Morrison ('Son, ayy) Act a fool on stage Prolly leave my fuckin' show in a cop car (Car, ayy) Shit was legendary Threw a TV out the window of the Montage Cocaine on the table, liquor pourin', don't give a damn Dude, your girlfriend is a groupie, she just tryna get in Sayin', ""I'm with the band"" (Ayy, ayy) Now she actin' outta pocket, tryna grab up on my pants Hundred bitches in my trailer say they ain't got a man And they all brought a friend (Yeah, ayy, ayy, ayy) I've been fuckin' hoes and poppin' pillies Man, I feel just like a rockstar (Star, ayy, ayy) All my brothers got that gas And they always be smokin' like a Rasta ('Sta) Fuckin' with me, call up on a Uzi And show up, man, them the shottas ('Tas) When my homies pull up on your block They make that thing go grrra-ta-ta-ta (Ta, pow, pow, pow) I've been in the Hills fuckin' superstars Feelin' like a popstar (21, 21, 21) Drankin' Henny, bad bitches jumpin' in the pool And they ain't got on no bra (Bra) Hit her from the back, pullin' on her tracks And now she screamin' out, ""¡No más!"" (Yeah, yeah, yeah) They like, ""Savage, why you got a 12 car garage And you only got six cars?"" (21) I ain't with the cakin', how you kiss that? (Kiss that?) Your wifey say I'm lookin' like a whole snack (Big snack) Green hundreds in my safe, I got old racks (Old racks) L.A. bitches always askin', ""Where the coke at?"" (21, 21) Livin' like a rockstar, smash out on a cop car Sweeter than a Pop-Tart, you know you are not hard I done made the hot chart, 'member I used to trap hard Livin' like a rockstar, I'm livin' like a rockstar (Ayy) I've been fuckin' hoes and poppin' pillies Man, I feel just like a rockstar (Star, ayy, ayy) All my brothers got that gas And they always be smokin' like a Rasta ('Sta, yeah, yeah, yeah, yeah) Fuckin' with me, call up on a Uzi And show up, man, them the shottas ('Tas) When my homies pull up on your block They make that thing go grrra-ta-ta-ta (Ta, grrra-ta-ta-ta-ta) Star, star, rockstar, rockstar, star Rockstar Rockstar, feel just like a– Rockstar Rockstar Rockstar Feel just like a..."
God's Plan,Drake,2018-02-03,"And they wishin' and wishin' And wishin' and wishin', they wishin' on me Yeah I been movin' calm, don't start no trouble with me Tryna keep it peaceful is a struggle for me Don't pull up at 6 AM to cuddle with me You know how I like it when you lovin' on me I don't wanna die for them to miss me Yes, I see the things that they wishin' on me Hope I got some brothers that outlive me They gon' tell the story, shit was different with me God's plan, God's plan I hold back, sometimes I won't, yeah I feel good, sometimes I don't (Ayy, don't) I finessed down Weston Road (Ayy, 'nessed) Might go down a G.O.D. (Yeah, wait) I go hard on Southside G (Yeah, wait) I make sure that north-side eat And still Bad things It's a lot of bad things that they wishin' and wishin' And wishin' and wishin', they wishin' on me Bad things It's a lot of bad things that they wishin' and wishin' And wishin' and wishin', they wishin' on me Yeah, ayy, ayy She say, ""Do you love me?"" I tell her, ""Only partly I only love my bed and my mama, I'm sorry"" Fifty Dub, I even got it tatted on me Eighty-one, they'll bring the crashers to the party And you know me Turn the O2 into the O3, dog Without 40, Oli, there'd be no me 'Magine if I never met the broskies God's plan, God's plan I can't do this on my own, ayy (No, ayy) Someone watchin' this shit close (Yep, close) I've been me since Scarlett Road, ayy (Road, ayy) Might go down as G.O.D. (Yeah, wait, yeah) I go hard on Southside G (Ayy, wait, ayy) I make sure that north-side eat, yeah And still Bad things It's a lot of bad things that they wishin' and wishin' And wishin' and wishin', they wishin' on me Yeah, yeah Bad things It's a lot of bad things that they wishin' and wishin' And wishin' and wishin', they wishin' on me Yeah"
Nice for What,Drake,2018-04-28,"I wanna know who mothafuckin' representin' in here tonight Hold on, hold on I keep lettin' you back in (You back in) How can I explain myself? Care for me, care for me, you said you'd care for me There for me, there for me, said you'd be there for me (Lil Weezyana shit) Cry for me, cry for me, you said you'd die for me (Murda on the beat) Give to me, give to me, why won't you live for me? Care for me, care for me, I know you care for me (A song for y'all to cut up to, you know?) There for me, there for me, said you'd be there for me (Yeah) Cry for me, cry for me, you said you'd die for me Give to me, give to me, why won't you live for me? Everybody get your mothafuckin' roll on I know shorty and she doesn't want no slow song Had a man last year, life goes on Haven't let that thing loose, girl, in so long You've been inside, know you like to lay low I've been peepin' what you bringin' to the table Workin' hard, girl, everything paid for First-last, phone bill, car note, cable With your phone out, gotta hit them angles With your phone out, snappin' like you Fabo And you showin' off, but it's alright And you showin' off, but it's alright (Alright!) It's a short life, yeah Care for me, care for me, you said you'd care for me There for me, there for me, said you'd be there for me Cry for me, cry for me, you said you'd die for me Give to me, give to me, why won't you live for me? That's a real one in your reflection Without a follow, without a mention You really pipin' up on these niggas You gotta be nice for what to these niggas? I understand, you got a hunnid bands You got a baby Benz, you got some bad friends High school pics, you was even bad then You ain't stressin' off no lover in the past tense You already had them Work at 8 A.M., finish 'round five Hoes talk down, you don't see 'em outside Yeah, they don't really be the same offline You know dark days, you know hard times Doin' overtime for the last month Saturday, call the girls, get 'em gassed up Gotta hit the club, gotta make that ass jump Gotta hit the club like you hit them mothafuckin' angles With your phone out, snappin' like you Fabo And you showin' off, but it's alright And you showin' off, but it's alright (Alright!) It's a short life Uh-huh (Oh yeah) These hoes (They mad) Your boy (I had) I made (Watch the breakdown) Care for me, care for me, you said you'd care for me There for me, there for me, said you'd be there for me Cry for me, cry for me, you said you'd die for me Give to me, give to me, why won't you live for me? Gotta make that jump, gotta make that, gotta, gotta make that Gotta make that jump, gotta make that, gotta, gotta make that Gotta, gotta, gotta g-g-gotta, g-g-gotta, gotta Gotta, g-g-gotta, gotta, gotta make that jump, jump (Let's go) Bend it over, lift it up, bend it over, lift it up Make that jump, jump Bend it over, lift it up, bend it over, lift it up Make that jump, jump Bend it over, over, over, over, over, lift it up Make that jump, jump Bend it over, lift it up (Make that jump, jump) Bend it over, lift it up (Make that jump, jump) That's a real one in your reflection Without a follow, without a mention You really pipin' up on these niggas You gotta be nice for what to these niggas? I understand Care for me, care for me, you said you'd care for me There for me, there for me, said you'd be there for me Give to me, give to me, why won't you live for me? Cry for me, cry for me, you said you'd cry for me Gotta hit the club like you hit them, hit them, hit them angles (BlaqNmilD, you a genius, you diggin' me?) It's a short life, yeah Cry for me, cry for me, you said you'd die for me Give to me, give to me, why won't you live for me?"
This Is America,Childish Gambino,2018-05-19,"Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, go, go away Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, go, go away Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, go, go away Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, go, go away We just wanna party Party just for you We just want the money Money just for you (Yeah) I know you wanna party Party just for free Girl, you got me dancin' (Girl, you got me dancin') Dance and shake the frame (Yeah) We just wanna party (Yeah) Party just for you (Yeah) We just want the money (Yeah) Money just for you (You) I know you wanna party (Yeah) Party just for free (Yeah) Girl, you got me dancin' (Girl, you got me dancin', yeah) Dance and shake the frame (Ooh) This is America Don't catch you slippin' now Don't catch you slippin' now Look what I'm whippin' now This is America (Woo) Don't catch you slippin' now Don't catch you slippin' now Look what I'm whippin' now This is America (Skrrt, skrrt, woo) Don't catch you slippin' now (Ayy) Look how I'm livin' now Police be trippin' now (Woo) Yeah, this is America (Woo, ayy) Guns in my area (Word, my area) I got the strap (Ayy, ayy) I gotta carry 'em Yeah, yeah, I'ma go into this (Ugh) Yeah, yeah, this is guerilla (Woo) Yeah, yeah, I'ma go get the bag Yeah, yeah, or I'ma get the pad Yeah, yeah, I'm so cold like, yeah (Yeah) I'm so dope like, yeah (Woo) We gon' blow like, yeah (Straight up, uh) Ooh-ooh-ooh-ooh-ooh, tell somebody You go tell somebody Grandma told me Get your money, Black man (Get your— Black man) Get your money, Black man (Get your—Black man) Get your money, Black man (Get your—Black man) Get your money, Black man (Get your—Black man) Black man This is America (Woo, ayy) Don't catch you slippin' now (Woo, woo, don't catch you slippin' now) Don't catch you slippin' now (Ayy, woah) Look what I'm whippin' now (Slime!) This is America (Yeah, yeah) Don't catch you slippin' now (Woah, ayy) Don't catch you slippin' now (Ayy, woo) Look what I'm whippin' now (Ayy) Look how I'm geekin' out (Hey) I'm so fitted (I'm so fitted, woo) I'm on Gucci (I'm on Gucci) I'm so pretty (Yeah, yeah, woo) I'm gon' get it (Ayy, I'm gon' get it) Watch me move (Blaow) This a celly (Ha) That's a tool (Yeah) On my Kodak (Woo) Black Ooh, know that (Yeah, know that, hold on) Get it (Woo, get it, get it) Ooh, work it (21) Hunnid bands, hunnid bands, hunnid bands (Hunnid bands) Contraband, contraband, contraband (Contraband) I got the plug in Oaxaca (Woah) They gonna find you like ""blocka"" (Blaow) Ooh-ooh-ooh-ooh-ooh, tell somebody America, I just checked my following list, and You go tell somebody You mothafuckas owe me Grandma told me Get your money, Black man (Black man) Get your money, Black man (Black man) Get your money, Black man (Black man) Get your money, Black man (Black man) Black man (1, 2, 3—get down) Ooh-ooh-ooh-ooh-ooh, tell somebody You go tell somebody Grandma told me, ""Get your money"" Get your money, Black man (Black man) Get your money, Black man (Black man) Get your money, Black man (Black man) Get your money, Black man (Black man) Black man You just a black man in this world You just a barcode, ayy You just a black man in this world Drivin' expensive foreigns, ayy You just a big dawg, yeah I kenneled him in the backyard No, probably ain't life to a dog For a big dog"
Nice for What,Drake,2018-06-02,NA
Psycho,Post Malone,2018-06-16,"Damn, my AP goin' psycho, lil' mama bad like Michael Can't really trust nobody with all this jewelry on you My roof look like a no-show, got diamonds by the boatload Come with the Tony Romo for clowns and all the bozos My AP goin' psycho, lil' mama bad like Michael Can't really trust nobody with all this jewelry on you My roof look like a no-show, got diamonds by the boatload Don't act like you my friend when I'm rollin' through my ends, though You stuck in the friend zone, I tell that four-five the fifth, ayy Hunnid bands inside my shorts, DeChino the shit, ayy Try to stuff it all in, but it don't even fit, ayy Know that I been with the shits ever since a jit, ayy I made my first million, I'm like, ""Shit, this is it,"" ayy 30 for a walkthrough, man, we had that bitch lit, ayy Had so many bottles, gave ugly girl a sip Out the window of the Benzo, we get seen in the rent' And I'm like ""Woah, man, my neck so goddamn cold” Diamonds wet, my t-shirt soaked I got homies, let it go, oh My money thick, won't ever fold She said, ""Can I have some to hold?"" And I can't ever tell you no Damn, my AP goin' psycho, lil' mama bad like Michael Can't really trust nobody with all this jewelry on you My roof look like a no-show, got diamonds by the boatload Come with the Tony Romo for clowns and all the bozos My AP goin' psycho, lil' mama bad like Michael Can't really trust nobody with all this jewelry on you My roof look like a no-show, got diamonds by the boatload Don't act like you my friend when I'm rollin' through my ends, though The AP goin' psycho, my Rollie goin' brazy I'm hittin' lil' mama, she wanna have my babies It's fifty on the pinky, chain so stanky You should see the whip, promise I can take yo' bitch Dolla ridin' in an old school Chevy, it's a drop top Boolin' with a thot-thot, she gon' give me top-top Just one switch, I can make the ass drop (Hey) Ayy, take you to the smoke shop We gon' get high, ayy, we gon' hit Rodeo Dial up Valentino, we gon' hit Pico Take you where I'm from, take you to the slums This ain't happen overnight, no, these diamonds real bright Saint Laurent jeans, still in my Vans though All VVS', put you in a necklace Girl, you look beautiful tonight Stars on the roof, they're matching with the jewelry Damn, my AP goin' psycho, lil' mama bad like Michael Can't really trust nobody with all this jewelry on you My roof look like a no-show, got diamonds by the boatload Come with the Tony Romo for clowns and all the bozos My AP goin' psycho, lil' mama bad like Michael Can't really trust nobody with all this jewelry on you My roof look like a no-show, got diamonds by the boatload Don't act like you my friend when I'm rollin' through my ends, though"
Nice for What,Drake,2018-06-23,"I wanna know who mothafuckin' representin' in here tonight Hold on, hold on I keep lettin' you back in (You back in) How can I explain myself? Care for me, care for me, you said you'd care for me There for me, there for me, said you'd be there for me (Lil Weezyana shit) Cry for me, cry for me, you said you'd die for me (Murda on the beat) Give to me, give to me, why won't you live for me? Care for me, care for me, I know you care for me (A song for y'all to cut up to, you know?) There for me, there for me, said you'd be there for me (Yeah) Cry for me, cry for me, you said you'd die for me Give to me, give to me, why won't you live for me? Everybody get your mothafuckin' roll on I know shorty and she doesn't want no slow song Had a man last year, life goes on Haven't let that thing loose, girl, in so long You've been inside, know you like to lay low I've been peepin' what you bringin' to the table Workin' hard, girl, everything paid for First-last, phone bill, car note, cable With your phone out, gotta hit them angles With your phone out, snappin' like you Fabo And you showin' off, but it's alright And you showin' off, but it's alright (Alright!) It's a short life, yeah Care for me, care for me, you said you'd care for me There for me, there for me, said you'd be there for me Cry for me, cry for me, you said you'd die for me Give to me, give to me, why won't you live for me? That's a real one in your reflection Without a follow, without a mention You really pipin' up on these niggas You gotta be nice for what to these niggas? I understand, you got a hunnid bands You got a baby Benz, you got some bad friends High school pics, you was even bad then You ain't stressin' off no lover in the past tense You already had them Work at 8 A.M., finish 'round five Hoes talk down, you don't see 'em outside Yeah, they don't really be the same offline You know dark days, you know hard times Doin' overtime for the last month Saturday, call the girls, get 'em gassed up Gotta hit the club, gotta make that ass jump Gotta hit the club like you hit them mothafuckin' angles With your phone out, snappin' like you Fabo And you showin' off, but it's alright And you showin' off, but it's alright (Alright!) It's a short life Uh-huh (Oh yeah) These hoes (They mad) Your boy (I had) I made (Watch the breakdown) Care for me, care for me, you said you'd care for me There for me, there for me, said you'd be there for me Cry for me, cry for me, you said you'd die for me Give to me, give to me, why won't you live for me? Gotta make that jump, gotta make that, gotta, gotta make that Gotta make that jump, gotta make that, gotta, gotta make that Gotta, gotta, gotta g-g-gotta, g-g-gotta, gotta Gotta, g-g-gotta, gotta, gotta make that jump, jump (Let's go) Bend it over, lift it up, bend it over, lift it up Make that jump, jump Bend it over, lift it up, bend it over, lift it up Make that jump, jump Bend it over, over, over, over, over, lift it up Make that jump, jump Bend it over, lift it up (Make that jump, jump) Bend it over, lift it up (Make that jump, jump) That's a real one in your reflection Without a follow, without a mention You really pipin' up on these niggas You gotta be nice for what to these niggas? I understand Care for me, care for me, you said you'd care for me There for me, there for me, said you'd be there for me Give to me, give to me, why won't you live for me? Cry for me, cry for me, you said you'd cry for me Gotta hit the club like you hit them, hit them, hit them angles (BlaqNmilD, you a genius, you diggin' me?) It's a short life, yeah Cry for me, cry for me, you said you'd die for me Give to me, give to me, why won't you live for me?"
Sad!,XXXTentacion,2018-06-30,"Yeah Who am I? Someone that's afraid to let go, uh You decide if you're ever gonna let me know (Yeah) Suicide if you ever try to let go, uh I'm sad, I know, yeah, I'm sad, I know, yeah Who am I? Someone that's afraid to let go, uh You decide if you're ever gonna let me know (Yeah) Suicide if you ever try to let go, uh I'm sad, I know, yeah, I'm sad, I know, yeah I gave her everything She took my heart and left me lonely I think broken heart's contagious I won't fix, I'd rather weep I'm lost then I'm found But it's torture bein' in love I love when you're around But I fuckin' hate when you leave Who am I? Someone that's afraid to let go, uh You decide if you're ever gonna let me know (Yeah) Suicide if you ever try to let go, uh I'm sad, I know, yeah, I'm sad, I know, yeah Who am I? Someone that's afraid to let go, uh You decide if you're ever gonna let me know (Yeah) Suicide if you ever try to let go, uh I'm sad, I know, yeah, I'm sad, I know, yeah Who am I? Someone that's afraid to let go, uh You decide if you're ever gonna let me know (Yeah) Suicide if you ever try to let go, uh I'm sad, I know, yeah, I'm sad, I know, yeah Who am I? Someone that's afraid to let go, uh You decide if you're ever gonna let me know (Yeah) Suicide if you ever try to let go, uh I'm sad, I know, yeah, I'm sad, I know, yeah"
I Like It,Cardi B,2018-07-07,"Yeah, baby, I like it like that You gotta believe me when I tell you I said I like it like that You gotta believe me when I tell you I said I like it like— Now I like dollars, I like diamonds I like stuntin', I like shinin' (Yeah) I like million dollar deals Where's my pen? Bitch, I'm signin' (Signin') I like those Balenciagas (Those) The ones that look like socks I like going to the jeweler I put rocks all in my watch (Cha-ching) I like texts from my exes when they want a second chance (What?) I like proving niggas wrong, I do what they say I can't They call me Cardi Bardi, banging body Spicy mami, hot tamale Hotter than a Somali, fur coat, Ferrari (Rrr, woo) Hop out the stu', jump in the coupe (Coupe) Big Dipper on top of the roof Flexing on bitches as hard as I can Eating halal, driving the Lam' Told that bitch I'm sorry, though (Sorry, though) 'Bout my coins like Mario (Mario) Yeah, they call me Cardi B I run this shit like cardio Woo, facts Diamond district in the chain, chain (I said I like it like that) Certified, you know I'm gang, gang, gang, gang (I said I like it like—woo) Drop the top and blow the brains, woo (Woo, I said I like it like that) Oh, he's so handsome, what's his name? Yeah (Woo, facts, I said I like it) Oh, I need the dollars, cha-ching (I said I like it like that) Beat it up like piñatas (I said I like it like—; uh) Tell the driver, close the curtains (I said I like it like that, skrrt) Bad bitch make you nervous (I said I like it) Cardi B Chambean, chambean, pero no jalan (¡Jalan!) Tú compras to'a las Jordan, bo, a mí me las regalan (Jeje) I spend in the club what you have in the bank (¡Wuh; ¡yeh!) This is the new religion bang in Latino gang, gang, ¡yeh! Trato de hacer dieta, pero es que en el closet tengo mucha grasa (¡Yeh!; ¡wuh!) Ya mudé la' Gucci pa' dentro de casa, yeh (¡Wuh!) Cabrón, a ti no te conocen ni en Plaza (No) El Diablo me llama, pero Jesucristo me abraza (Amén) Guerrero como Eddie, que viva la raza, yeh Me gustan boricuas, me gustan cubanas Me gusta el acento de las colombianas (¿Qué hubo pues?) Como mueve el culo la dominicana (¿Qué lo que?) Lo rico que me chingan las venezolanas (¡Wuh!) Andamos activos, Perico Pin Pin (Wuh) Billetes de cien en el maletín (¡Ching!) Que retumbe el bajo, Bobby Valentín, yeh (¡Buh!) Aquí es prohibido amar, diles, Charytín Que pa'l picor les tengo Claritín Yo llego a la disco y se forma el motín (¡Rrrah!) Diamond district in the chain (I said I like it like that) Bad Bunny baby, bebé, bebé Certified, you know I'm gang, gang, gang, gang (I said I like it like—woo) Drop the top and blow the brains, woo (Woo, I said I like it like that) Oh, he's so handsome, what's his name? Yeah (Woo, yeh, I said I like it) Oh, I need the dollars, cha-ching (I said I like it like that) Beat it up like piñatas (I said I like it like—) Tell the driver, close the curtains (I said I like it like that, skrrt) Bad bitch make you nervous (I said I like it, that) Como Celia Cruz tengo el azúcar (Azúca') Tu jeva me vio y se fue de pecho como Jimmy Snuka (Ah) Te vamos a tumbar la peluca Y arranca pa'l carajo, cabrón, que a ti no te vo'a pasar la hookah (Hookah, hookah) Mis tenis Balenciaga me reciben en la entrada (Wuh) Pa-Pa-Paparazzi like I'm Lady Gaga (Wuh) Y no te me hagas (Eh) Que en cover de Billboard tú has visto mi cara (Eh) No salgo de tu mente (Wuh) Donde quieras que viajes has escuchado ""Mi Gente"" Yo no soy hype, soy como el Testarossa (Hype; 'rossa) Yo soy el que se la vive y también el que la goza (Goza, goza) Es la cosa, mami es la cosa (Cosa, cosa) El que mira sufre y el que toca goza (Goza, goza, goza) I said I like it like that I said I like it like that (Rrr) I said I like it like that (Woo) I said I like it like that Diamond district in the chain (I said I like it like that) Certified, you know I'm gang, gang (I said I like it like—) Drop the top and blow the brains, woo (I said I like it like that) Oh, he's so handsome, what's his name? Yeah (I said I like it)"
Nice for What,Drake,2018-07-14,"I wanna know who mothafuckin' representin' in here tonight Hold on, hold on I keep lettin' you back in (You back in) How can I explain myself? Care for me, care for me, you said you'd care for me There for me, there for me, said you'd be there for me (Lil Weezyana shit) Cry for me, cry for me, you said you'd die for me (Murda on the beat) Give to me, give to me, why won't you live for me? Care for me, care for me, I know you care for me (A song for y'all to cut up to, you know?) There for me, there for me, said you'd be there for me (Yeah) Cry for me, cry for me, you said you'd die for me Give to me, give to me, why won't you live for me? Everybody get your mothafuckin' roll on I know shorty and she doesn't want no slow song Had a man last year, life goes on Haven't let that thing loose, girl, in so long You've been inside, know you like to lay low I've been peepin' what you bringin' to the table Workin' hard, girl, everything paid for First-last, phone bill, car note, cable With your phone out, gotta hit them angles With your phone out, snappin' like you Fabo And you showin' off, but it's alright And you showin' off, but it's alright (Alright!) It's a short life, yeah Care for me, care for me, you said you'd care for me There for me, there for me, said you'd be there for me Cry for me, cry for me, you said you'd die for me Give to me, give to me, why won't you live for me? That's a real one in your reflection Without a follow, without a mention You really pipin' up on these niggas You gotta be nice for what to these niggas? I understand, you got a hunnid bands You got a baby Benz, you got some bad friends High school pics, you was even bad then You ain't stressin' off no lover in the past tense You already had them Work at 8 A.M., finish 'round five Hoes talk down, you don't see 'em outside Yeah, they don't really be the same offline You know dark days, you know hard times Doin' overtime for the last month Saturday, call the girls, get 'em gassed up Gotta hit the club, gotta make that ass jump Gotta hit the club like you hit them mothafuckin' angles With your phone out, snappin' like you Fabo And you showin' off, but it's alright And you showin' off, but it's alright (Alright!) It's a short life Uh-huh (Oh yeah) These hoes (They mad) Your boy (I had) I made (Watch the breakdown) Care for me, care for me, you said you'd care for me There for me, there for me, said you'd be there for me Cry for me, cry for me, you said you'd die for me Give to me, give to me, why won't you live for me? Gotta make that jump, gotta make that, gotta, gotta make that Gotta make that jump, gotta make that, gotta, gotta make that Gotta, gotta, gotta g-g-gotta, g-g-gotta, gotta Gotta, g-g-gotta, gotta, gotta make that jump, jump (Let's go) Bend it over, lift it up, bend it over, lift it up Make that jump, jump Bend it over, lift it up, bend it over, lift it up Make that jump, jump Bend it over, over, over, over, over, lift it up Make that jump, jump Bend it over, lift it up (Make that jump, jump) Bend it over, lift it up (Make that jump, jump) That's a real one in your reflection Without a follow, without a mention You really pipin' up on these niggas You gotta be nice for what to these niggas? I understand Care for me, care for me, you said you'd care for me There for me, there for me, said you'd be there for me Give to me, give to me, why won't you live for me? Cry for me, cry for me, you said you'd cry for me Gotta hit the club like you hit them, hit them, hit them angles (BlaqNmilD, you a genius, you diggin' me?) It's a short life, yeah Cry for me, cry for me, you said you'd die for me Give to me, give to me, why won't you live for me?"
